Komoditas (Rp),Tanggal,Harga,Wilayah,Bulan,Tahun,Hari_Dalam_Minggu,Musim_Hujan,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh,Hujan_Lag30,Hujan_Lag60,Suhu_Lag30,Suhu_Lag60,Rata_Hujan_30Hari,Rata_Suhu_30Hari,Harga_Kemarin,Harga_Minggu_Lalu
Bawang Merah,2020-05-18,44500.0,Bukittinggi,5,2020,0,0,21.4,0.9,10.78,18.0,6.4,2.8,20.3,20.9,6.673333333333334,21.469999999999995,43750.0,42500.0
Bawang Merah,2020-05-19,44500.0,Bukittinggi,5,2020,1,0,22.6,4.5,17.55,12.0,2.0,0.7,21.2,21.5,6.756666666666667,21.516666666666666,44500.0,45000.0
Bawang Merah,2020-05-20,44500.0,Bukittinggi,5,2020,2,0,21.9,1.1,10.64,24.9,6.0,1.1,21.3,21.6,6.593333333333334,21.536666666666665,44500.0,45000.0
Bawang Merah,2020-05-21,49000.0,Bukittinggi,5,2020,3,0,22.7,0.3,19.58,12.6,3.1,1.0,20.9,21.6,6.5,21.596666666666668,44500.0,46250.0
Bawang Merah,2020-05-22,49000.0,Bukittinggi,5,2020,4,0,21.8,0.0,17.49,10.9,5.0,1.2,20.9,21.6,6.333333333333333,21.626666666666665,49000.0,46250.0
Bawang Merah,2020-05-25,40000.0,Bukittinggi,5,2020,0,0,21.8,2.4,18.51,8.1,10.5,3.7,21.5,21.6,6.063333333333333,21.636666666666667,49000.0,43750.0
Bawang Merah,2020-05-26,44500.0,Bukittinggi,5,2020,1,0,21.6,0.3,18.9,13.8,6.1,2.3,21.0,21.3,5.87,21.65666666666667,40000.0,43750.0
Bawang Merah,2020-05-27,44500.0,Bukittinggi,5,2020,2,0,21.4,0.0,10.74,7.4,4.7,1.1,21.1,21.7,5.713333333333334,21.666666666666668,44500.0,44500.0
Bawang Merah,2020-05-28,45000.0,Bukittinggi,5,2020,3,0,22.1,4.2,20.2,8.4,22.1,41.4,20.9,21.5,5.116666666666666,21.706666666666667,44500.0,44500.0
Bawang Merah,2020-05-29,45000.0,Bukittinggi,5,2020,4,0,21.5,1.1,17.15,8.2,3.3,1.7,21.4,21.2,5.043333333333334,21.71,45000.0,44500.0
Bawang Merah,2020-06-01,45000.0,Bukittinggi,6,2020,0,0,21.5,2.3,16.35,7.9,2.0,0.1,21.5,22.1,5.053333333333333,21.71,45000.0,49000.0
Bawang Merah,2020-06-02,47500.0,Bukittinggi,6,2020,1,0,21.6,8.8,15.81,8.2,3.2,0.0,22.0,21.8,5.239999999999999,21.69666666666667,45000.0,49000.0
Bawang Merah,2020-06-03,47500.0,Bukittinggi,6,2020,2,0,21.3,7.3,15.8,9.7,18.4,0.4,21.8,22.2,4.87,21.68,47500.0,40000.0
Bawang Merah,2020-06-04,47500.0,Bukittinggi,6,2020,3,0,21.0,26.9,12.88,10.7,16.5,17.4,21.1,21.6,5.216666666666667,21.676666666666666,47500.0,44500.0
Bawang Merah,2020-06-05,47500.0,Bukittinggi,6,2020,4,0,20.5,13.6,9.59,13.4,7.1,2.1,21.5,21.5,5.433333333333334,21.64333333333333,47500.0,44500.0
Bawang Merah,2020-06-08,46250.0,Bukittinggi,6,2020,0,0,21.6,0.0,21.75,10.3,1.6,4.7,21.4,21.0,5.379999999999999,21.65,47500.0,45000.0
Bawang Merah,2020-06-09,46250.0,Bukittinggi,6,2020,1,0,21.6,0.1,22.09,10.8,6.4,10.1,21.2,20.8,5.170000000000001,21.663333333333338,46250.0,45000.0
Bawang Merah,2020-06-10,45750.0,Bukittinggi,6,2020,2,0,21.7,0.0,19.92,7.8,1.7,17.2,21.8,21.1,5.113333333333333,21.66,46250.0,45000.0
Bawang Merah,2020-06-11,45750.0,Bukittinggi,6,2020,3,0,21.6,2.2,16.66,11.6,5.6,15.5,21.2,20.6,5.0,21.673333333333336,45750.0,47500.0
Bawang Merah,2020-06-12,45750.0,Bukittinggi,6,2020,4,0,21.0,27.5,15.63,12.3,20.4,6.4,20.1,21.1,5.236666666666666,21.703333333333333,45750.0,47500.0
Bawang Merah,2020-06-15,42000.0,Bukittinggi,6,2020,0,0,21.9,5.9,20.61,7.7,0.5,12.9,22.3,20.7,5.416666666666667,21.689999999999998,45750.0,47500.0
Bawang Merah,2020-06-16,42000.0,Bukittinggi,6,2020,1,0,21.0,4.6,15.45,8.8,1.0,12.4,21.9,21.0,5.536666666666666,21.66,42000.0,47500.0
Bawang Merah,2020-06-17,39000.0,Bukittinggi,6,2020,2,0,20.7,10.7,11.8,8.8,1.0,17.8,21.8,21.0,5.859999999999999,21.623333333333335,42000.0,46250.0
Bawang Merah,2020-06-18,38750.0,Bukittinggi,6,2020,3,0,20.7,16.8,8.81,5.4,9.8,20.1,22.0,21.1,6.093333333333334,21.58,39000.0,46250.0
Bawang Merah,2020-06-19,34250.0,Bukittinggi,6,2020,4,0,20.9,9.0,13.69,8.7,2.0,5.6,20.9,21.3,6.326666666666667,21.580000000000002,38750.0,45750.0
Bawang Merah,2020-06-22,34250.0,Bukittinggi,6,2020,0,0,20.7,10.9,12.46,13.7,0.7,21.6,22.1,21.8,6.666666666666667,21.533333333333335,34250.0,45750.0
Bawang Merah,2020-06-23,34250.0,Bukittinggi,6,2020,1,0,20.7,5.3,9.35,9.7,2.6,2.0,22.2,21.2,6.756666666666666,21.483333333333334,34250.0,45750.0
Bawang Merah,2020-06-24,36750.0,Bukittinggi,6,2020,2,0,20.3,2.1,6.72,11.7,0.8,13.2,21.8,21.0,6.799999999999999,21.433333333333334,34250.0,42000.0
Bawang Merah,2020-06-25,34250.0,Bukittinggi,6,2020,3,0,21.1,0.0,20.73,11.6,25.4,8.4,21.5,21.6,5.953333333333333,21.42,36750.0,42000.0
Bawang Merah,2020-06-26,35500.0,Bukittinggi,6,2020,4,0,21.1,0.4,21.74,9.3,9.8,3.1,22.4,20.8,5.64,21.37666666666667,34250.0,39000.0
Bawang Merah,2020-06-29,36000.0,Bukittinggi,6,2020,0,0,21.0,0.0,17.08,5.2,0.9,6.4,21.4,20.3,5.609999999999999,21.363333333333337,35500.0,38750.0
Bawang Merah,2020-06-30,35500.0,Bukittinggi,6,2020,1,0,21.3,4.9,17.15,10.6,4.5,2.0,22.6,21.2,5.623333333333333,21.32,36000.0,34250.0
Bawang Merah,2020-07-01,31500.0,Bukittinggi,7,2020,2,0,21.3,1.5,19.48,10.3,1.1,6.0,21.9,21.3,5.636666666666667,21.300000000000004,35500.0,34250.0
Bawang Merah,2020-07-02,31500.0,Bukittinggi,7,2020,3,0,21.5,3.7,18.27,7.2,0.3,3.1,22.7,20.9,5.75,21.26,31500.0,34250.0
Bawang Merah,2020-07-03,31000.0,Bukittinggi,7,2020,4,0,21.6,3.2,18.33,7.7,0.0,5.0,21.8,20.9,5.8566666666666665,21.253333333333334,31500.0,36750.0
Bawang Merah,2020-07-06,31000.0,Bukittinggi,7,2020,0,0,21.1,14.0,17.0,12.6,2.4,10.5,21.8,21.5,6.243333333333334,21.23,31000.0,34250.0
Bawang Merah,2020-07-07,32750.0,Bukittinggi,7,2020,1,0,20.9,14.0,14.22,9.2,0.3,6.1,21.6,21.0,6.7,21.206666666666663,31000.0,35500.0
Bawang Merah,2020-07-08,32750.0,Bukittinggi,7,2020,2,0,20.0,20.8,10.31,9.1,0.0,4.7,21.4,21.1,7.3933333333333335,21.16,32750.0,36000.0
Bawang Merah,2020-07-09,31750.0,Bukittinggi,7,2020,3,0,20.4,3.5,9.71,9.2,4.2,22.1,22.1,20.9,7.370000000000001,21.103333333333335,32750.0,35500.0
Bawang Merah,2020-07-10,31000.0,Bukittinggi,7,2020,4,0,20.1,2.5,10.82,13.2,1.1,3.3,21.5,21.4,7.416666666666667,21.056666666666665,31750.0,31500.0
Bawang Merah,2020-07-13,31000.0,Bukittinggi,7,2020,0,0,20.0,4.5,8.2,5.9,2.3,2.0,21.5,21.5,7.489999999999999,21.006666666666664,31000.0,31500.0
Bawang Merah,2020-07-14,30500.0,Bukittinggi,7,2020,1,0,20.7,0.1,17.24,15.9,8.8,3.2,21.6,22.0,7.2,20.976666666666667,31000.0,31000.0
Bawang Merah,2020-07-15,28000.0,Bukittinggi,7,2020,2,0,21.1,0.3,19.7,11.8,7.3,18.4,21.3,21.8,6.966666666666667,20.970000000000002,30500.0,31000.0
Bawang Merah,2020-07-16,28000.0,Bukittinggi,7,2020,3,0,21.0,5.1,16.5,12.2,26.9,16.5,21.0,21.1,6.239999999999999,20.970000000000002,28000.0,32750.0
Bawang Merah,2020-07-17,28000.0,Bukittinggi,7,2020,4,0,20.7,24.4,15.45,8.8,13.6,7.1,20.5,21.5,6.6,20.976666666666667,28000.0,32750.0
Bawang Merah,2020-07-20,29250.0,Bukittinggi,7,2020,0,0,20.8,3.4,18.74,13.7,0.0,1.6,21.6,21.4,6.713333333333334,20.95,28000.0,31750.0
Bawang Merah,2020-07-21,29250.0,Bukittinggi,7,2020,1,0,21.4,4.3,19.45,11.9,0.1,6.4,21.6,21.2,6.8533333333333335,20.94333333333333,29250.0,31000.0
Bawang Merah,2020-07-22,29250.0,Bukittinggi,7,2020,2,0,20.4,34.0,13.81,8.6,0.0,1.7,21.7,21.8,7.9866666666666655,20.9,29250.0,31000.0
Bawang Merah,2020-07-23,29250.0,Bukittinggi,7,2020,3,0,20.7,51.1,11.91,9.8,2.2,5.6,21.6,21.2,9.616666666666667,20.87,29250.0,30500.0
Bawang Merah,2020-07-24,28750.0,Bukittinggi,7,2020,4,0,20.7,4.8,17.31,10.1,27.5,20.4,21.0,20.1,8.860000000000001,20.86,29250.0,28000.0
Bawang Merah,2020-07-27,28750.0,Bukittinggi,7,2020,0,0,20.5,1.1,11.69,10.2,5.9,0.5,21.9,22.3,8.7,20.813333333333333,28750.0,28000.0
Bawang Merah,2020-07-28,28750.0,Bukittinggi,7,2020,1,0,20.8,0.6,14.47,6.4,4.6,1.0,21.0,21.9,8.566666666666666,20.80666666666667,28750.0,28000.0
Bawang Merah,2020-07-29,28750.0,Bukittinggi,7,2020,2,0,20.7,1.1,12.98,6.4,10.7,1.0,20.7,21.8,8.246666666666666,20.806666666666665,28750.0,29250.0
Bawang Merah,2020-07-30,28750.0,Bukittinggi,7,2020,3,0,21.3,1.8,15.24,9.8,16.8,9.8,20.7,22.0,7.746666666666667,20.826666666666668,28750.0,29250.0
Bawang Merah,2020-07-31,28750.0,Bukittinggi,7,2020,4,0,20.4,1.7,13.98,14.7,9.0,2.0,20.9,20.9,7.503333333333333,20.810000000000002,28750.0,29250.0
Bawang Merah,2020-08-03,28750.0,Bukittinggi,8,2020,0,0,21.2,0.7,19.2,8.1,10.9,0.7,20.7,22.1,7.163333333333332,20.826666666666664,28750.0,29250.0
Bawang Merah,2020-08-04,27750.0,Bukittinggi,8,2020,1,0,20.9,1.9,11.73,12.6,5.3,2.6,20.7,22.2,7.05,20.833333333333332,28750.0,28750.0
Bawang Merah,2020-08-05,27750.0,Bukittinggi,8,2020,2,0,21.4,0.1,17.0,10.5,2.1,0.8,20.3,21.8,6.983333333333333,20.87,27750.0,28750.0
Bawang Merah,2020-08-06,27000.0,Bukittinggi,8,2020,3,0,21.5,0.0,18.31,11.9,0.0,25.4,21.1,21.5,6.983333333333333,20.883333333333333,27750.0,28750.0
Bawang Merah,2020-08-07,27000.0,Bukittinggi,8,2020,4,0,21.1,0.0,24.34,16.2,0.4,9.8,21.1,22.4,6.97,20.883333333333333,27000.0,28750.0
Bawang Merah,2020-08-10,28500.0,Bukittinggi,8,2020,0,0,21.4,0.0,23.82,12.0,0.0,0.9,21.0,21.4,6.97,20.896666666666665,27000.0,28750.0
Bawang Merah,2020-08-11,28500.0,Bukittinggi,8,2020,1,0,21.4,0.0,15.91,11.5,4.9,4.5,21.3,22.6,6.806666666666667,20.9,28500.0,28750.0
Bawang Merah,2020-08-12,29000.0,Bukittinggi,8,2020,2,0,21.8,0.1,15.62,9.2,1.5,1.1,21.3,21.9,6.760000000000001,20.916666666666664,28500.0,28750.0
Bawang Merah,2020-08-13,29000.0,Bukittinggi,8,2020,3,0,21.6,0.0,19.26,14.8,3.7,0.3,21.5,22.7,6.636666666666668,20.919999999999998,29000.0,27750.0
Bawang Merah,2020-08-14,28250.0,Bukittinggi,8,2020,4,0,20.7,1.3,15.41,7.9,3.2,0.0,21.6,21.8,6.573333333333333,20.89,29000.0,27750.0
Bawang Merah,2020-08-17,28250.0,Bukittinggi,8,2020,0,0,20.2,27.2,14.98,8.2,14.0,2.4,21.1,21.8,7.013333333333333,20.86,28250.0,27000.0
Bawang Merah,2020-08-18,28250.0,Bukittinggi,8,2020,1,0,20.7,2.9,15.7,5.2,14.0,0.3,20.9,21.6,6.643333333333333,20.853333333333335,28250.0,27000.0
Bawang Merah,2020-08-19,28250.0,Bukittinggi,8,2020,2,0,20.7,6.4,15.4,5.9,20.8,0.0,20.0,21.4,6.163333333333333,20.87666666666667,28250.0,28500.0
Bawang Merah,2020-08-20,28250.0,Bukittinggi,8,2020,3,0,20.8,4.5,16.39,13.2,3.5,4.2,20.4,22.1,6.196666666666666,20.889999999999997,28250.0,28500.0
Bawang Merah,2020-08-21,28250.0,Bukittinggi,8,2020,4,0,21.1,21.4,16.62,9.7,2.5,1.1,20.1,21.5,6.826666666666666,20.923333333333336,28250.0,29000.0
Bawang Merah,2020-08-24,28250.0,Bukittinggi,8,2020,0,0,20.9,2.3,18.57,14.4,4.5,2.3,20.0,21.5,6.753333333333333,20.953333333333333,28250.0,29000.0
Bawang Merah,2020-08-25,28250.0,Bukittinggi,8,2020,1,0,20.8,8.7,18.41,15.8,0.1,8.8,20.7,21.6,7.04,20.956666666666663,28250.0,28250.0
Bawang Merah,2020-08-26,28250.0,Bukittinggi,8,2020,2,0,19.9,3.0,8.11,9.2,0.3,7.3,21.1,21.3,7.13,20.916666666666668,28250.0,28250.0
Bawang Merah,2020-08-27,28250.0,Bukittinggi,8,2020,3,0,20.5,0.7,18.5,11.6,5.1,26.9,21.0,21.0,6.983333333333333,20.9,28250.0,28250.0
Bawang Merah,2020-08-28,27750.0,Bukittinggi,8,2020,4,0,20.3,7.0,21.25,9.4,24.4,13.6,20.7,20.5,6.403333333333333,20.886666666666667,28250.0,28250.0
Bawang Merah,2020-08-31,27750.0,Bukittinggi,8,2020,0,0,20.8,27.9,19.03,7.9,3.4,0.0,20.8,21.6,7.22,20.886666666666663,27750.0,28250.0
Bawang Merah,2020-09-01,27750.0,Bukittinggi,9,2020,1,0,20.5,3.9,16.27,9.2,4.3,0.1,21.4,21.6,7.206666666666666,20.856666666666666,27750.0,28250.0
Bawang Merah,2020-09-02,28250.0,Bukittinggi,9,2020,2,0,20.5,3.0,15.54,8.8,34.0,0.0,20.4,21.7,6.173333333333333,20.86,27750.0,28250.0
Bawang Merah,2020-09-03,28250.0,Bukittinggi,9,2020,3,0,20.6,10.1,13.7,10.2,51.1,2.2,20.7,21.6,4.806666666666667,20.856666666666666,28250.0,28250.0
Bawang Merah,2020-09-04,25750.0,Bukittinggi,9,2020,4,0,20.6,46.5,15.38,7.0,4.8,27.5,20.7,21.0,6.196666666666667,20.853333333333335,28250.0,28250.0
Bawang Merah,2020-09-07,27500.0,Bukittinggi,9,2020,0,0,20.9,6.4,15.97,11.9,1.1,5.9,20.5,21.9,6.373333333333333,20.866666666666667,25750.0,28250.0
Bawang Merah,2020-09-08,27500.0,Bukittinggi,9,2020,1,0,20.9,15.6,15.24,11.2,0.6,4.6,20.8,21.0,6.873333333333333,20.869999999999997,27500.0,27750.0
Bawang Merah,2020-09-09,27500.0,Bukittinggi,9,2020,2,0,20.4,28.3,11.89,11.3,1.1,10.7,20.7,20.7,7.78,20.860000000000003,27500.0,27750.0
Bawang Merah,2020-09-10,27500.0,Bukittinggi,9,2020,3,0,19.5,13.3,5.27,12.5,1.8,16.8,21.3,20.7,8.163333333333332,20.8,27500.0,27750.0
Bawang Merah,2020-09-11,27500.0,Bukittinggi,9,2020,4,0,20.4,14.1,16.99,13.2,1.7,9.0,20.4,20.9,8.576666666666666,20.8,27500.0,28250.0
Bawang Merah,2020-09-14,28000.0,Bukittinggi,9,2020,0,0,20.4,1.3,17.32,10.5,0.7,10.9,21.2,20.7,8.596666666666668,20.77333333333333,27500.0,28250.0
Bawang Merah,2020-09-15,28250.0,Bukittinggi,9,2020,1,0,21.2,0.0,22.6,17.7,1.9,5.3,20.9,20.7,8.533333333333333,20.783333333333335,28000.0,25750.0
Bawang Merah,2020-09-16,28250.0,Bukittinggi,9,2020,2,0,20.6,1.1,12.05,13.8,0.1,2.1,21.4,20.3,8.566666666666666,20.756666666666664,28250.0,27500.0
Bawang Merah,2020-09-17,27750.0,Bukittinggi,9,2020,3,0,20.3,2.0,18.15,15.5,0.0,0.0,21.5,21.1,8.633333333333333,20.716666666666665,28250.0,27500.0
Bawang Merah,2020-09-18,27750.0,Bukittinggi,9,2020,4,0,20.6,16.7,14.55,11.6,0.0,0.4,21.1,21.1,9.19,20.7,27750.0,27500.0
Bawang Merah,2020-09-21,27750.0,Bukittinggi,9,2020,0,0,20.2,10.0,6.72,12.7,0.0,0.0,21.4,21.0,9.523333333333333,20.66,27750.0,27500.0
Bawang Merah,2020-09-22,27750.0,Bukittinggi,9,2020,1,0,21.5,4.2,16.11,8.2,0.0,4.9,21.4,21.3,9.663333333333334,20.663333333333334,27750.0,27500.0
Bawang Merah,2020-09-23,27750.0,Bukittinggi,9,2020,2,0,20.9,18.0,15.67,9.4,0.1,1.5,21.8,21.3,10.259999999999998,20.633333333333333,27750.0,28000.0
Bawang Merah,2020-09-24,27750.0,Bukittinggi,9,2020,3,0,21.7,1.0,19.74,10.7,0.0,3.7,21.6,21.5,10.293333333333331,20.636666666666667,27750.0,28250.0
Bawang Merah,2020-09-25,27750.0,Bukittinggi,9,2020,4,0,20.3,15.1,15.51,7.2,1.3,3.2,20.7,21.6,10.753333333333332,20.62333333333333,27750.0,28250.0
Bawang Merah,2020-09-28,27750.0,Bukittinggi,9,2020,0,0,20.9,7.0,18.77,5.9,27.2,14.0,20.2,21.1,10.08,20.64666666666667,27750.0,27750.0
Bawang Merah,2020-09-29,27750.0,Bukittinggi,9,2020,1,0,20.9,2.9,19.62,12.6,2.9,14.0,20.7,20.9,10.08,20.653333333333332,27750.0,27750.0
Bawang Merah,2020-09-30,26750.0,Bukittinggi,9,2020,2,0,20.4,12.2,16.84,15.8,6.4,20.8,20.7,20.0,10.273333333333333,20.64333333333333,27750.0,27750.0
Bawang Merah,2020-10-01,26750.0,Bukittinggi,10,2020,3,1,20.4,18.3,12.79,9.3,4.5,3.5,20.8,20.4,10.733333333333333,20.63,26750.0,27750.0
Bawang Merah,2020-10-02,26750.0,Bukittinggi,10,2020,4,1,20.6,7.8,14.68,12.3,21.4,2.5,21.1,20.1,10.28,20.613333333333333,26750.0,27750.0
Bawang Merah,2020-10-05,26750.0,Bukittinggi,10,2020,0,1,20.7,23.4,17.09,14.1,2.3,4.5,20.9,20.0,10.983333333333333,20.60666666666667,26750.0,27750.0
Bawang Merah,2020-10-06,26750.0,Bukittinggi,10,2020,1,1,21.0,68.0,15.4,13.7,8.7,0.1,20.8,20.7,12.96,20.613333333333337,26750.0,27750.0
Bawang Merah,2020-10-07,28500.0,Bukittinggi,10,2020,2,1,19.9,10.8,8.8,22.0,3.0,0.3,19.9,21.1,13.22,20.613333333333333,26750.0,27750.0
Bawang Merah,2020-10-08,28500.0,Bukittinggi,10,2020,3,1,19.6,10.1,7.7,18.5,0.7,5.1,20.5,21.0,13.533333333333333,20.583333333333332,28500.0,27750.0
Bawang Merah,2020-10-09,28500.0,Bukittinggi,10,2020,4,1,19.7,35.7,8.81,23.3,7.0,24.4,20.3,20.7,14.49,20.563333333333333,28500.0,26750.0
Bawang Merah,2020-10-12,27250.0,Bukittinggi,10,2020,0,1,21.2,2.6,14.26,8.0,27.9,3.4,20.8,20.8,13.646666666666667,20.576666666666668,28500.0,26750.0
Bawang Merah,2020-10-13,28250.0,Bukittinggi,10,2020,1,1,20.7,0.0,7.11,7.6,3.9,4.3,20.5,21.4,13.516666666666667,20.583333333333332,27250.0,26750.0
Bawang Merah,2020-10-14,28750.0,Bukittinggi,10,2020,2,1,21.7,2.4,17.01,13.8,3.0,34.0,20.5,20.4,13.496666666666666,20.623333333333335,28250.0,26750.0
